FIPS,County,LaborForce, Employed, Unemployed,UnemploymentRate,MedianIncome,MedianIncomePercent,AnnualIncome,TotalVotes,TotalVotes_Democratic,TotalVotes_Republican,TotalVotes_Libertarian,VoterTurnout_BlackFemale,VoterTurnout_BlackMale,VoterTurnout_WhiteFemale,VoterTurnout_WhiteMale,VoterTurnout_Asian,VoterTurnout_Hispanic,VoterTurnout_OtherRace,Male,Female,Not_HS_Graduate,HS_Graduate,Some_College,College_Graduate
13157,Jackson  ,36480,35066,1414,3.9,68984,117.7,43508,37670,20.29,78.3,0.68,3.13,2.25,44.12,39.54,1.15,2.94,6.87,38106,37245,22.7,32.15,29.22,15.1
13159,Jasper  ,6587,6286,301,4.6,51241,87.4,38568,7644,23.04,76.16,0.27,9.23,6.09,42.54,38.94,0.22,0.72,2.25,7260,6991,14.21,38.12,30.44,22.7
13161,Jeff Davis  ,5597,5338,259,4.6,37211,63.5,32069,5771,17.81,81.36,0.29,7.79,4.94,44.19,38.03,0.21,1.83,3.02,7636,7448,10.29,38.66,30.29,14.2
13163,Jefferson  ,6361,5936,425,6.7,38274,65.3,36033,7642,53.14,46.28,0.26,30.08,17.08,24.35,22.34,0.14,0.35,5.66,7864,7407,9.88,41.78,24.74,10.3
13165,Jenkins  ,3029,2844,185,6.1,31419,53.6,31635,3455,36.64,62.55,0.23,20.38,11.73,33.27,29.25,0.26,0.29,4.83,4042,4629,7.88,44.78,26.61,9.9
13167,Johnson  ,3824,3649,175,4.6,34849,59.4,26341,4100,29.8,69.51,0.32,16.98,9.91,37.39,33.21,0.39,0.12,1.99,4132,5424,9.14,45.95,20.06,7.9
13169,Jones  ,12860,12345,515,4,55737,95.1,38526,14966,32.66,66.58,0.31,14.24,9.87,38.28,33.9,0.43,0.58,2.7,14814,13920,19.58,39.23,30.3,9.1
13171,Lamar  ,7862,7422,440,5.6,48323,82.4,34375,9039,28.93,70.03,0.44,12.74,7.82,38.69,34.38,0.28,0.58,5.51,9979,9148,15.83,39.44,31.79,19.6
13173,Lanier  ,3658,3491,167,4.6,41564,70.9,28991,3576,28.5,70.16,0.7,11.2,8,38.7,34.02,0.7,1.67,5.71,5128,5249,16.47,37.85,25.65,15.8
13175,Laurens  ,18337,17217,1120,6.1,42114,71.8,38995,22729,35.52,63.76,0.28,18.53,10.9,34.61,30.51,0.71,0.62,4.12,24927,22485,16.23,43.12,26.54,16.5
13177,Lee  ,13746,13160,586,4.3,66090,112.7,49274,16714,27.27,71.84,0.41,11.05,7.32,39.03,34.62,1.31,0.98,5.68,15008,15215,25.38,29.77,35.7,16.2
13179,Liberty  ,25720,24197,1523,5.9,47685,81.3,37424,21389,61.24,37.21,0.64,27.81,19.13,19.39,17.26,1.65,4.74,10.02,30586,31185,18.28,31.55,40.87,25.4
13181,Lincoln  ,3299,3122,177,5.4,46967,80.1,38527,4650,30.86,68.37,0.28,14.5,9.94,35.48,33.87,0.21,0.3,5.7,4017,3836,15.86,39.68,26.61,18.3
13183,Long  ,7820,7510,310,4,46428,79.2,27232,5656,35.94,62.38,0.85,14.46,10.26,31.24,28.94,1.14,3.98,9.99,9810,10036,17.44,34.74,35.48,15.9
13185,Lowndes  ,50863,47956,2907,5.7,41820,71.3,38706,46355,43.4,55.42,0.54,18.75,11.17,33.03,28.99,1.18,1.9,4.99,60979,57096,25.31,31.41,29.92,17.4
13187,Lumpkin  ,15904,15329,575,3.6,55583,94.8,38450,15531,20.13,78.31,0.84,0.31,0.24,47.92,43.47,0.42,1.3,6.34,17108,16815,26.4,30.35,28,25.3
13189,McDuffie  ,8316,7713,603,7.3,42768,72.9,38456,4662,61.28,38.25,0.21,34.37,21.98,19.8,19.01,1.01,0.73,3.11,5756,6977,8.76,41.64,27.72,26.4
13191,McIntosh  ,5381,5063,318,5.9,42513,72.5,30981,14937,22.84,75.83,0.52,4.62,3.12,43.93,39.79,0.97,1.33,6.24,15189,14943,18.53,37.38,30.17,14
13193,Macon  ,4371,4090,281,6.4,32868,56.1,32343,3624,36.18,62.78,0.55,17.73,11.33,33.42,31.39,0.63,1.51,3.98,4152,4118,13.42,34.77,30.05,17.6
13195,Madison  ,12593,12043,550,4.4,51338,87.6,36879,10455,39.87,59.01,0.53,21.85,12.6,33.72,29.62,0.27,0.69,1.25,11250,10013,14.02,39.77,24.85,8.8
13197,Marion  ,3043,2901,142,4.7,39114,66.7,29849,6696,39.01,59.98,0.28,16.46,11.39,34.33,32.36,0.27,0.51,4.68,7490,7095,17.62,35.49,28.92,18.5
13199,Meriwether  ,8670,7958,712,8.2,38886,66.3,36050,10877,39.41,59.98,0.22,20.23,11.99,32.04,29.42,0.26,0.51,5.56,10910,10123,10.4,39.77,29.54,13.4
13201,Miller  ,2572,2470,102,4,42483,72.5,48011,2835,26.42,72.87,0.39,13.75,7.61,40.46,35.54,0.14,0.46,2.04,2925,2715,13.99,36.51,32.1,10.4
13205,Mitchell  ,8026,7490,536,6.7,36788,62.7,37608,8963,44.57,55.06,0.08,25.07,13.83,29.62,26.13,0.44,0.69,4.22,10429,11266,9.71,39.52,27.97,14
13207,Monroe  ,12284,11721,563,4.6,59362,101.2,46563,15592,28.12,70.93,0.44,10.5,7.1,39.17,36.03,0.63,0.61,5.97,13903,13805,26.8,33.28,25.59,9.7
13209,Montgomery  ,3657,3472,185,5.1,41834,71.3,31037,3966,24.68,74.63,0.3,11.72,8.19,40.22,35.35,0.15,1.17,3.2,4500,4704,16.01,38.08,27.66,26.8
13211,Morgan  ,8794,8367,427,4.9,57978,98.9,51677,11707,28.66,70.3,0.45,9.9,6.04,41.65,37.44,0.39,0.74,3.83,10006,9291,20.69,36.04,30.93,16
13213,Murray  ,14564,13756,808,5.5,46810,79.8,30964,15389,14.96,84.11,0.47,0.19,0.19,46.8,42.26,0.19,4.4,5.95,20452,19868,10.07,37.44,23.22,20.7
13215,Muscogee  ,73540,67818,5722,7.8,46628,79.5,45352,80543,61.49,37.31,0.49,27.9,16.48,24.36,19.78,1.73,2.59,7.16,99262,94810,25.76,27.36,34.92,10.1
13217,Newton  ,50483,46930,3553,7,56598,96.5,34696,54239,54.93,44.01,0.24,27.55,16.51,24.98,21.62,0.54,1.68,7.11,59824,53429,19.77,33.78,33.08,25.8
13219,Oconee  ,18299,17780,519,2.8,99497,169.7,67845,25168,32.43,65.94,0.88,2.05,1.37,44.87,40.43,2.44,1.81,7.03,21037,20297,52.35,19.31,22.87,19.8
13221,Oglethorpe  ,6505,6230,275,4.2,51105,87.2,36698,8131,29.96,68.79,0.58,7.62,5.09,41.72,37.93,0.26,1.35,6.03,7757,7673,17.07,38.87,23.8,52.3
13223,Paulding  ,82102,77980,4122,5,73309,125,38978,85385,34.79,63.86,0.64,11.29,7.73,36.46,32.2,0.73,3.14,8.45,88205,83900,22.64,32.89,33.84,17.1
13225,Peach  ,11059,10410,649,5.9,46525,79.3,39336,12545,47.19,51.83,0.53,22.58,14.8,28.43,26.12,0.56,2.31,5.22,14227,13289,20.55,29.82,32.61,22.6
13227,Pickens  ,14452,13868,584,4,65062,111,48493,17116,16.41,82.23,0.37,0.34,0.26,48.71,44.02,0.35,0.85,5.48,17036,16419,23.15,31.48,30.7,20.5
13229,Pierce  ,8200,7857,343,4.2,44389,75.7,37486,9048,12.16,87.3,0.32,3.73,2.43,46.1,40.68,0.3,0.66,6.1,9865,9676,12.56,42.76,28.07,23.1
13231,Pike  ,8440,8080,360,4.3,66901,114.1,41401,10720,14.04,85.14,0.38,4.22,3.11,45.37,40.96,0.31,0.52,5.52,9560,9254,17.08,41.79,29.3,12.6
13233,Polk  ,17685,16814,871,4.9,43679,74.5,34055,17399,21.02,78.1,0.39,6.09,3.42,43.62,39.03,0.3,2.17,5.37,21661,20916,13.72,37.88,27.17,17.1
13235,Pulaski  ,3724,3575,149,4,40582,69.2,31603,4059,29.98,69.11,0.44,14.61,8.52,37.86,34.43,0.62,0.69,3.28,6248,4725,13.15,36.77,31.14,13.7
13237,Putnam  ,7841,7375,466,5.9,51205,87.3,44643,11855,29.08,69.94,0.4,11.44,6.78,39.47,36.13,0.34,1.13,4.71,11298,10719,23.37,37.59,26.63,13.2
13239,Quitman  ,801,755,46,5.7,33908,57.8,31466,1106,44.94,54.61,0.09,24.96,15.92,27.37,25.94,0.36,0.81,4.65,1183,1088,7.07,35.44,22.17,23.4
13241,Rabun  ,6989,6683,306,4.4,44213,75.4,41058,9568,20.74,78.11,0.51,0.2,0.16,48.68,43.55,0.29,1.2,5.92,8684,8357,24.17,33.08,27.52,7.1
13243,Randolph  ,2443,2300,143,5.9,28298,48.3,35186,3074,54.36,45.25,0.13,32.84,18.51,23.27,21.91,0.13,0.32,3.01,3529,3114,10.29,35.77,28.47,24.2
13245,Richmond  ,80950,74597,6353,7.8,40168,68.5,39370,87016,67.95,30.78,0.41,32.7,20.26,19.17,16.22,0.99,1.46,9.19,103908,98662,21.41,31.37,31.36,10.3
13247,Rockdale  ,43624,40315,3309,7.6,59673,101.8,36138,44686,69.92,29.12,0.42,33.13,22.11,16.32,14.14,1.23,2.27,10.81,48358,43079,26.32,31.48,30.95,21.4
13249,Schley  ,2156,2086,70,3.2,45378,77.4,33044,2275,20.31,79.12,0.26,9.94,5.47,42.25,38.13,0.39,1.01,2.8,2758,2511,13.33,34.85,39.42,26.3
13251,Screven  ,4980,4597,383,7.7,39048,66.6,35346,6628,40.15,59.08,0.33,19.83,12.74,33.12,29.18,0.24,0.35,4.54,7000,6958,15.4,41.5,26.56,13.3
13253,Seminole  ,2926,2786,140,4.8,36869,62.9,47527,3884,32.29,67.22,0.08,16.36,8.6,36.67,33.67,0.28,0.64,3.76,4151,3857,16.19,38.26,31.52,15.4
13255,Spalding  ,27833,25753,2080,7.5,43510,74.2,35740,30116,39.13,59.96,0.26,17.79,10.21,34.35,29.9,0.52,1.37,5.87,34759,32326,17.78,39.83,24.25,16.2
13257,Stephens  ,10435,9859,576,5.5,45850,78.2,39335,11885,20.07,78.82,0.63,4.68,3.27,44.74,40.75,0.56,0.89,5.1,13388,12581,21.02,38.6,22.44,17.8
13259,Stewart  ,2506,2371,135,5.4,33053,56.4,23081,1990,59.4,40.25,0.15,33.45,21.41,20.96,20.15,0.1,0.35,3.58,2054,4507,12.17,36.42,19.51,21
13261,Sumter  ,12771,11872,899,7,37562,64.1,37936,12150,52,47.18,0.46,27.86,15.91,27.68,23.94,0.6,0.84,3.15,15416,13694,18.25,34.66,28.53,12.2
13263,Talbot  ,2678,2504,174,6.5,37265,63.6,35705,3522,60.02,39.52,0.14,32.03,20.86,22.06,20.49,0.2,0.51,3.85,3195,2939,12.13,45.54,24.65,18.3
13265,Taliaferro  ,553,518,35,6.3,34090,58.1,37088,928,60.45,38.79,0.22,28.56,25.13,21.71,20.64,0.11,0.43,3.42,757,745,8.1,46.15,16.76,12.1
13267,Tattnall  ,9032,8677,355,3.9,41440,70.7,29106,8183,25.19,73.97,0.31,10.28,6.6,40.03,35.22,0.4,2.12,5.35,10724,14525,13.17,38.13,24.54,8.1
13269,Taylor  ,2781,2613,168,6,36310,61.9,32801,3839,36.13,62.99,0.47,18.73,11.52,33.3,30.82,0.18,0.68,4.77,4150,3797,12.63,37.53,28.33,13.2
13271,Telfair  ,3484,3155,329,9.4,34297,58.5,21535,4333,34.32,65.2,0.21,17.83,11.18,34.17,32.2,0.3,0.55,3.76,6393,9258,8.65,47.23,14.44,12.6
13273,Terrell  ,3345,3069,276,8.3,35290,60.2,43654,4416,53.8,45.38,0.2,31.92,18.11,23.1,22.33,0.25,0.29,3.99,4428,4054,11.23,32.34,33.91,8.6
13275,Thomas  ,16335,15274,1061,6.5,41642,71,46223,21853,39.85,59.28,0.42,18.14,9.8,34.94,29.94,0.52,0.77,5.88,23383,21059,24.72,31.54,28.59,11.2
13277,Tift  ,19635,18646,989,5,45680,77.9,39317,16283,32.68,66.23,0.54,13.86,7.57,38.39,32.55,0.87,2.72,4.04,20986,19764,18.11,34.67,29.14,24.7
13279,Toombs  ,11395,10679,716,6.3,37148,63.4,37143,10914,26.93,72.13,0.35,12.3,6.79,40.08,33.35,0.48,1.97,5.03,14124,12794,16.16,37.54,26.4,18.1
13281,Towns  ,3592,3405,187,5.2,45853,78.2,39181,7979,19.43,80.01,0.23,0.17,0.1,49.63,43.65,0.27,0.79,5.39,6512,5915,30.07,29.9,29.95,16.2
13283,Treutlen  ,2478,2343,135,5.4,35069,59.8,29682,3077,30.94,68.28,0.32,17.57,9.96,35.78,32.72,0.23,0.32,3.42,3445,3432,12.38,40.85,20.5,30.1
13285,Troup  ,37082,34820,2262,6.1,45234,77.1,37690,30049,38.53,60.38,0.43,18.3,9.91,35.12,29.92,0.79,0.91,5.05,36241,33338,19.01,35.13,29.27,12.4
13287,Turner  ,3076,2828,248,8.1,33261,56.7,36836,3792,37.18,61.95,0.58,20.66,11.07,33.73,29.78,0.21,1.05,3.5,4083,3846,11.68,38.04,31.48,19
13289,Twiggs  ,2704,2524,180,6.7,42054,71.7,43163,4444,45.99,53.33,0.18,23.89,17.37,27.06,25.85,0.27,0.52,5.05,4095,3957,11.76,38.49,23.94,11.7
13291,Union  ,9896,9542,354,3.6,45943,78.4,37588,15560,18,81.3,0.23,0.06,0.08,48.93,43.24,0.36,0.83,6.5,12595,11901,22.52,34.02,32.51,11.8
13293,Upson  ,11038,10328,710,6.4,40965,69.9,36653,12905,32.55,66.7,0.37,15.07,9.26,37.19,31.98,0.31,0.41,5.79,13807,12510,13.35,38.4,30.53,22.5
13295,Walker  ,30184,28991,1193,4,43767,74.6,34078,29354,19.65,78.95,0.59,1.67,1.13,46.77,40.55,0.33,0.5,9.06,35344,34390,16.62,35.23,30.12,13.4
13297,Walton  ,43838,41708,2130,4.9,65416,111.6,42406,51095,24.82,74.06,0.46,7.71,5.03,39.67,34.8,0.69,1.52,10.58,49277,47058,21.73,36.02,29.14,16.6
13299,Ware  ,14765,14008,757,5.1,38357,65.4,34915,14192,29.67,69.51,0.37,13.79,7.67,39.41,33.09,0.51,0.8,4.73,17676,17776,15.16,39.22,27.02,21.7
13301,Warren  ,2705,2554,151,5.6,38352,65.4,36427,2651,55.41,43.98,0.34,32.19,18.81,23.71,21.26,0.23,0.34,3.47,2717,2470,12.34,39.75,21.11,15.2
13303,Washington  ,6502,6059,443,6.8,39444,67.3,36321,9459,50.01,49.3,0.29,28.56,16.45,27.2,23.98,0.16,0.39,3.27,9848,10423,12.35,44.66,24.27,12.3
13305,Wayne  ,10595,10028,567,5.4,44607,76.1,32633,12778,21.03,78.16,0.41,8.68,4.84,42.47,36.75,0.41,0.92,5.93,14610,15378,12.96,41.97,28.45,12.3
13307,Webster  ,986,932,54,5.5,38187,65.1,34700,1390,45.97,53.81,0.07,24.38,17.89,28.94,25.45,0.14,0.5,2.71,1293,1289,14.66,40.67,23.93,13
13309,Wheeler  ,1501,1408,93,6.2,32691,55.8,19472,2285,30.15,69.28,0.31,14.75,10.52,36.19,34.53,0.04,0.79,3.19,2735,5045,13.55,50.5,16.8,14.7
13311,White  ,16096,15572,524,3.3,51579,88,35238,14816,16.27,82.49,0.51,0.53,0.36,48.67,43.92,0.34,0.81,5.37,15846,15092,22.75,30.92,31.54,13.6
13313,Whitfield  ,40989,38955,2034,5,47074,80.3,39927,36746,29.04,69.77,0.44,2.02,1.46,40.37,34.44,0.96,12.76,8,52395,52249,15.72,29.44,24.31,22.7
13315,Wilcox  ,2593,2435,158,6.1,35961,61.3,29334,3281,26.27,73.24,0.18,14.66,8.38,38.86,35.15,0.24,0.73,1.97,3426,5152,12.17,45.55,24.4,15.7
13317,Wilkes  ,3728,3498,230,6.2,39361,67.1,42644,5029,42.95,56.13,0.4,21.48,12.92,31.53,29,0.5,0.44,4.14,5002,4665,13.77,44,25.92,12.2
13319,Wilkinson  ,3898,3724,174,4.5,41036,70,37011,4770,43.5,55.85,0.21,23.62,14.7,30.13,27.97,0.17,0.21,3.2,4590,4275,10.85,50.3,23.28,13.8
13321,Worth  ,8252,7849,403,4.9,48708,83.1,36974,9285,25.79,73.56,0.3,13.12,8.06,38.53,36.03,0.21,0.44,3.6,10428,9686,10.98,42.69,29.21,10.9
